gene	n_bins	sum_x1_ESC	sum_x2_NPC	ratio_x2_over_x1
1700047G03Rik	3	15	24	1.6
1700047L14Rik	3	0	0	NA
1700047M11Rik	3	10	9	0.9
1700048M11Rik	3	13	9	0.6923076923076923
1700048O20Rik	3	21	12	0.5714285714285714
1700049E15Rik	3	10	8	0.8
1700049E17Rik1	3	0	0	NA
1700049E17Rik2	1	0	0	NA
1700049E22Rik	3	5	10	2.0
1700049L16Rik	3	1	1	1.0
1700051A21Rik	3	70	26	0.37142857142857144
1700052I22Rik	3	12	5	0.4166666666666667
1700052K11Rik	3	1	6	6.0
1700054A03Rik	3	8	6	0.75
1700054K19Rik	3	13	11	0.8461538461538461
1700054M17Rik	3	9	8	0.8888888888888888
1700055C04Rik	3	14	19	1.3571428571428572
1700055D16Rik	3	2	11	5.5
1700056E22Rik	3	8	4	0.5
1700057G04Rik	3	0	3	NA
1700057H15Rik	3	66	17	0.25757575757575757
1700057H21Rik	3	8	4	0.5
1700060C16Rik	3	13	15	1.1538461538461537
1700060C20Rik	3	18	18	1.0
1700061F12Rik	3	7	8	1.1428571428571428
1700061I17Rik	3	4	12	3.0
1700061J23Rik	3	10	7	0.7
1700061N14Rik	3	14	13	0.9285714285714286
1700063A18Rik	3	1	7	7.0
1700063D05Rik	3	11	20	1.8181818181818181
1700063H04Rik	3	0	11	NA
1700063O14Rik	3	0	5	NA
1700064J06Rik	3	4	16	4.0
1700064M15Rik	3	4	2	0.5
1700065D16Rik	1	1	1	1.0
1700065I16Rik	3	8	7	0.875
1700065J11Rik	3	14	11	0.7857142857142857
1700065J18Rik	3	6	24	4.0
1700065L07Rik	3	10	15	1.5
1700065O20Rik	3	5	8	1.6
1700066B17Rik	3	6	17	2.8333333333333335
1700066B19Rik	3	15	3	0.2
1700066C05Rik	3	2	3	1.5
1700066J03Rik	3	2	6	3.0
1700066M21Rik	1	3	3	1.0
1700066N21Rik	3	4	13	3.25
1700066O22Rik	3	14	12	0.8571428571428571
1700067G17Rik	3	7	13	1.8571428571428572
1700067K01Rik	3	8	13	1.625
1700067P10Rik	3	5	11	2.2
1700069L16Rik	3	12	13	1.0833333333333333
1700069P05Rik	3	0	2	NA
1700071K01Rik	3	8	15	1.875
1700071M16Rik	3	13	8	0.6153846153846154
1700072B07Rik	1	8	4	0.5
1700072I22Rik	1	1	5	5.0
1700072O05Rik	3	7	8	1.1428571428571428
1700073E17Rik	3	23	9	0.391304347826087
1700074H08Rik	3	0	0	NA
